cluster	cluster_size	go_term	k_in_cluster	K_in_atlas	cluster_freq	bg_freq	enrichment_ratio	log10_p
29	296	early endosome	23	257	0.0777	0.0073	10.62	16.27
29	296	cellular response to glucose stimulus	20	88	0.0676	0.0025	26.96	22.5
29	296	regulation of Cdc42 protein signal transduction	58	78	0.1959	0.0022	88.22	104.65
29	296	estrogen biosynthetic process	72	1149	0.2432	0.0327	7.43	40.84
29	296	fatty acid biosynthetic process	7	807	0.0236	0.023	1.03	0.28
29	296	amyloid-beta binding	58	79	0.1959	0.0022	87.1	104.07
29	296	high-density lipoprotein particle	5	603	0.0169	0.0172	0.98	0.24
29	296	adenylate cyclase-activating G protein-coupled receptor signaling pathway	22	84	0.0743	0.0024	31.07	26.21
29	296	postsynaptic density	23	337	0.0777	0.0096	8.1	13.72
29	296	negative regulation of cytokine production involved in immune response	58	132	0.1959	0.0038	52.13	84.94
29	296	collagen binding	65	76	0.2196	0.0022	101.47	125.37
29	296	axon	23	485	0.0777	0.0138	5.63	10.46
29	296	cell differentiation	23	459	0.0777	0.0131	5.94	10.94
29	296	fatty acid elongation, saturated fatty acid	74	76	0.25	0.0022	115.52	154.35
29	296	cellular response to amyloid-beta	1	40	0.0034	0.0011	2.97	0.54
29	296	lipase inhibitor activity	2	60	0.0068	0.0017	3.95	1.04
29	296	lipid binding	2	1476	0.0068	0.042	0.16	0.0
29	296	G protein-coupled estrogen receptor activity	1	48	0.0034	0.0014	2.47	0.48
29	296	negative regulation of lipid biosynthetic process	20	73	0.0676	0.0021	32.5	24.31
29	296	lipoprotein metabolic process	56	215	0.1892	0.0061	30.9	66.67
29	296	negative regulation of inflammatory response	80	386	0.2703	0.011	24.59	87.59
29	296	high-density lipoprotein particle remodeling	58	768	0.1959	0.0219	8.96	36.95
29	296	testosterone dehydrogenase (NAD+) activity	2	1038	0.0068	0.0296	0.23	0.0
29	296	cholesterol metabolic process	58	6083	0.1959	0.1732	1.13	0.77
29	296	negative regulation of very-low-density lipoprotein particle remodeling	58	136	0.1959	0.0039	50.6	83.97
29	296	hippocampus development	1	15	0.0034	0.0004	7.91	0.92
29	296	signaling receptor binding	2	1444	0.0068	0.0411	0.16	0.0
29	296	positive regulation of neurogenesis	20	75	0.0676	0.0021	31.64	24.04
29	296	response to nutrient levels	1	20	0.0034	0.0006	5.93	0.81
29	296	hippocampal mossy fiber to CA3 synapse	3	57	0.0101	0.0016	6.24	1.91
29	296	triglyceride homeostasis	58	755	0.1959	0.0215	9.11	37.36
29	296	negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction	22	79	0.0743	0.0022	33.04	26.87
29	296	cytoplasmic vesicle membrane	23	260	0.0777	0.0074	10.49	16.16
29	296	high-density lipoprotein particle binding	57	133	0.1926	0.0038	50.85	82.65
29	296	positive regulation of stress fiber assembly	58	75	0.1959	0.0021	91.75	106.46
29	296	reverse cholesterol transport	58	776	0.1959	0.0221	8.87	36.7
29	296	positive regulation of cholesterol metabolic process	58	80	0.1959	0.0023	86.01	103.52
29	296	testosterone biosynthetic process	4	46	0.0135	0.0013	10.32	3.21
29	296	estradiol 17-beta-dehydrogenase [NAD(P)+] activity	190	2847	0.6419	0.0811	7.92	130.98
29	296	keratin filament	22	79	0.0743	0.0022	33.04	26.87
29	296	response to nutrient	1	26	0.0034	0.0007	4.56	0.7
29	296	heparin binding	65	146	0.2196	0.0042	52.82	95.94
29	296	positive regulation of cholesterol efflux	58	245	0.1959	0.007	28.09	66.42
29	296	intracellular membrane-bounded organelle	1	19	0.0034	0.0005	6.24	0.83
29	296	positive regulation of insulin secretion	20	74	0.0676	0.0021	32.06	24.17
29	296	phosphatidylcholine-sterol O-acyltransferase activator activity	58	132	0.1959	0.0038	52.13	84.94
29	296	protein homodimerization activity	18	390	0.0608	0.0111	5.48	8.12
29	296	apolipoprotein A-I receptor binding	58	75	0.1959	0.0021	91.75	106.46
29	296	positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction	22	94	0.0743	0.0027	27.77	25.01
29	296	positive regulation of neural precursor cell proliferation	1	61	0.0034	0.0017	1.94	0.39
29	296	negative regulation of ERK1 and ERK2 cascade	22	82	0.0743	0.0023	31.83	26.47
29	296	estrogen metabolic process	1	1660	0.0034	0.0473	0.07	0.0
29	296	mitochondrial membrane	23	1052	0.0777	0.03	2.59	4.46
30	285	diacylglycerol lipase activity	50	101	0.1754	0.0029	61.0	77.35
30	285	lipid droplet	219	1587	0.7684	0.0452	17.0	236.51
30	285	triglyceride catabolic process	217	1003	0.7614	0.0286	26.66	279.69
30	285	cell-cell signaling	23	1430	0.0807	0.0407	1.98	2.81
30	285	triacylglycerol lipase activity	214	2063	0.7509	0.0587	12.78	201.58
30	285	smoothened signaling pathway	23	1536	0.0807	0.0437	1.85	2.43
30	285	gliogenesis	23	585	0.0807	0.0167	4.84	9.2
30	285	patched binding	23	1613	0.0807	0.0459	1.76	2.18
30	285	monoacylglycerol lipase activity	219	1012	0.7684	0.0288	26.66	283.04
30	285	intein-mediated protein splicing	23	1354	0.0807	0.0386	2.09	3.12
30	285	central nervous system development	23	1381	0.0807	0.0393	2.05	3.01
30	285	sterol ester esterase activity	214	2104	0.7509	0.0599	12.53	199.69
30	285	lipid catabolic process	6	1122	0.0211	0.032	0.66	0.05
30	285	protein kinase binding	1	330	0.0035	0.0094	0.37	0.03
30	285	cell fate specification	23	1408	0.0807	0.0401	2.01	2.9
30	285	retinyl-palmitate esterase activity	50	123	0.1754	0.0035	50.09	71.76
30	285	protein autoprocessing	23	1424	0.0807	0.0406	1.99	2.84
30	285	calcium ion binding	23	1460	0.0807	0.0416	1.94	2.7
30	285	osteoblast differentiation	1	27	0.0035	0.0008	4.56	0.7
30	285	caveola	219	1185	0.7684	0.0337	22.77	266.44
30	285	peptidase activity	23	1425	0.0807	0.0406	1.99	2.83
30	285	regulation of gene expression	23	1316	0.0807	0.0375	2.15	3.29
30	285	diacylglycerol catabolic process	4	63	0.014	0.0018	7.82	2.76
30	285	cholesterol metabolic process	219	6083	0.7684	0.1732	4.44	107.7
30	285	striated muscle cell development	23	637	0.0807	0.0181	4.45	8.49
31	308	medium-chain fatty-acyl-CoA metabolic process	57	57	0.1851	0.0016	114.02	119.63
31	308	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	200	274	0.6494	0.0078	83.22	300.0
31	308	response to steroid hormone	1	23	0.0032	0.0007	4.96	0.74
31	308	(3S)-3-hydroxyacyl-CoA dehydrogenase (NAD+) activity	57	975	0.1851	0.0278	6.67	29.44
31	308	acyl-CoA metabolic process	3	585	0.0097	0.0167	0.58	0.05
31	308	(3R)-3-hydroxyacyl-CoA dehydrogenase (NAD+) activity	59	130	0.1916	0.0037	51.75	86.4
31	308	fatty acid beta-oxidation	196	279	0.6364	0.0079	80.1	300.0
31	308	acetoacetyl-CoA hydrolase activity	3	569	0.0097	0.0162	0.6	0.06
31	308	nuclear speck	3	268	0.0097	0.0076	1.28	0.38
31	308	acetyl-CoA hydrolase activity	3	569	0.0097	0.0162	0.6	0.06
31	308	androgen metabolic process	58	1056	0.1883	0.0301	6.26	28.55
31	308	response to xenobiotic stimulus	1	98	0.0032	0.0028	1.16	0.24
31	308	fatty acid beta-oxidation using acyl-CoA oxidase	57	65	0.1851	0.0019	99.98	109.95
31	308	lyase activity	1	326	0.0032	0.0093	0.35	0.02
31	308	(2E)-enoyl-CoA hydratase activity	261	261	0.8474	0.0074	114.02	300.0
31	308	fatty acid biosynthetic process	57	807	0.1851	0.023	8.05	33.75
31	308	fatty acid metabolic process	17	1010	0.0552	0.0288	1.92	2.08
31	308	fatty acid catabolic process	3	561	0.0097	0.016	0.61	0.06
31	308	fatty acyl-CoA hydrolase activity	3	501	0.0097	0.0143	0.68	0.09
31	308	peroxisome	213	1627	0.6916	0.0463	14.93	210.56
31	308	succinyl-CoA hydrolase activity	3	569	0.0097	0.0162	0.6	0.06
31	308	very long-chain fatty-acyl-CoA metabolic process	57	57	0.1851	0.0016	114.02	119.63
31	308	choloyl-CoA hydrolase activity	3	573	0.0097	0.0163	0.6	0.06
31	308	hydroxymethylglutaryl-CoA hydrolase activity	3	569	0.0097	0.0162	0.6	0.06
31	308	isomerase activity	203	206	0.6591	0.0059	112.36	300.0
31	308	estradiol 17-beta-dehydrogenase [NAD(P)+] activity	58	2847	0.1883	0.0811	2.32	8.88
31	308	3alpha,7alpha,12alpha-trihydroxy-5beta-cholest-24-enoyl-CoA hydratase activity	261	261	0.8474	0.0074	114.02	300.0
31	308	cholesterol catabolic process	1	1254	0.0032	0.0357	0.09	0.0
31	308	protein homodimerization activity	57	390	0.1851	0.0111	16.66	51.44
31	308	carboxylic ester hydrolase activity	3	572	0.0097	0.0163	0.6	0.06
31	308	peroxisome organization	3	485	0.0097	0.0138	0.71	0.1
31	308	estrogen metabolic process	58	1660	0.1883	0.0473	3.98	18.82
31	308	very long-chain fatty acid metabolic process	2	15	0.0065	0.0004	15.2	2.13
31	308	peroxisomal matrix	60	1220	0.1948	0.0347	5.61	27.02
32	348	glucocorticoid metabolic process	24	45	0.069	0.0013	53.82	35.95
32	348	steroid metabolic process	4	321	0.0115	0.0091	1.26	0.4
32	348	organic anion transport	10	62	0.0287	0.0018	16.28	9.26
32	348	presynapse	16	1207	0.046	0.0344	1.34	0.83
32	348	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	3	274	0.0086	0.0078	1.1	0.29
32	348	secondary active transmembrane transporter activity	3	20	0.0086	0.0006	15.14	3.01
32	348	oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor	45	77	0.1293	0.0022	58.97	69.91
32	348	enzyme binding	4	350	0.0115	0.01	1.15	0.34
32	348	fatty acid beta-oxidation	6	279	0.0172	0.0079	2.17	1.22
32	348	progesterone metabolic process	4	906	0.0115	0.0258	0.45	0.01
32	348	vitamin K metabolic process	27	32	0.0776	0.0009	85.14	49.27
32	348	fatty acid binding	4	18	0.0115	0.0005	22.42	4.59
32	348	external side of plasma membrane	1	25	0.0029	0.0007	4.04	0.66
32	348	prostaglandin E2 9-reductase activity	220	303	0.6322	0.0086	73.27	300.0
32	348	xenobiotic metabolic process	31	499	0.0891	0.0142	6.27	15.2
32	348	steroid hydroxylase activity	4	153	0.0115	0.0044	2.64	1.18
32	348	dendrite	16	1498	0.046	0.0427	1.08	0.38
32	348	basal plasma membrane	2	44	0.0057	0.0013	4.59	1.15
32	348	testosterone dehydrogenase (NADP+) activity	2	128	0.0057	0.0036	1.58	0.44
32	348	prostaglandin transmembrane transporter activity	5	438	0.0144	0.0125	1.15	0.36
32	348	cholesterol 24-hydroxylase activity	16	1202	0.046	0.0342	1.34	0.84
32	348	positive regulation of reactive oxygen species metabolic process	23	47	0.0661	0.0013	49.38	33.3
32	348	protein-containing complex binding	1	246	0.0029	0.007	0.41	0.04
32	348	prostaglandin transport	8	26	0.023	0.0007	31.05	9.94
32	348	steroid catabolic process	1	962	0.0029	0.0274	0.1	0.0
32	348	apical plasma membrane	8	5067	0.023	0.1443	0.16	0.0
32	348	fatty acid beta-oxidation using acyl-CoA oxidase	5	65	0.0144	0.0019	7.76	3.33
32	348	postsynapse	16	1209	0.046	0.0344	1.34	0.83
32	348	transmembrane transporter activity	14	79	0.0402	0.0022	17.88	13.33
32	348	response to toxic substance	7	39	0.0201	0.0011	18.11	6.99
32	348	microvillus	1	42	0.0029	0.0012	2.4	0.47
32	348	protein-containing complex	1	462	0.0029	0.0132	0.22	0.0
32	348	FAD binding	4	94	0.0115	0.0027	4.29	1.84
32	348	15-hydroxyprostaglandin dehydrogenase (NADP+) activity	220	302	0.6322	0.0086	73.51	300.0
32	348	15-hydroxyprostaglandin-D dehydrogenase (NADP+) activity	220	313	0.6322	0.0089	70.93	300.0
32	348	fatty acid metabolic process	1	1010	0.0029	0.0288	0.1	0.0
32	348	urate metabolic process	1	21	0.0029	0.0006	4.81	0.72
32	348	response to lipopolysaccharide	1	17	0.0029	0.0005	5.94	0.81
32	348	sodium-independent organic anion transport	3	35	0.0086	0.001	8.65	2.3
32	348	lipid transport	1	4600	0.0029	0.131	0.02	-0.0
32	348	NADPH binding	1	114	0.0029	0.0032	0.89	0.17
32	348	NADPH dehydrogenase (quinone) activity	1	15	0.0029	0.0004	6.73	0.86
32	348	basolateral plasma membrane	10	3332	0.0287	0.0949	0.3	0.0
32	348	epithelial cell differentiation	23	96	0.0661	0.0027	24.18	24.76
32	348	peroxisome	6	1627	0.0172	0.0463	0.37	0.0
32	348	carbonyl reductase (NADPH) activity	222	327	0.6379	0.0093	68.51	300.0
32	348	toxin transmembrane transporter activity	1	92	0.0029	0.0026	1.1	0.22
32	348	monoatomic ion transport	13	380	0.0374	0.0108	3.45	3.91
32	348	xenobiotic transmembrane transporter activity	7	36	0.0201	0.001	19.62	7.24
32	348	response to estradiol	1	57	0.0029	0.0016	1.77	0.36
32	348	endoplasmic reticulum lumen	4	52	0.0115	0.0015	7.76	2.75
32	348	regulation of long-term synaptic potentiation	4	61	0.0115	0.0017	6.62	2.5
32	348	cognition	1	21	0.0029	0.0006	4.81	0.72
32	348	response to testosterone	1	24	0.0029	0.0007	4.2	0.67
32	348	bile acid biosynthetic process	9	520	0.0259	0.0148	1.75	1.12
32	348	lipid metabolic process	179	1633	0.5144	0.0465	11.06	142.51
32	348	heme binding	16	5655	0.046	0.161	0.29	0.0
32	348	cholesterol catabolic process	16	1254	0.046	0.0357	1.29	0.74
32	348	protein homodimerization activity	3	390	0.0086	0.0111	0.78	0.13
32	348	bile acid metabolic process	4	229	0.0115	0.0065	1.76	0.71
32	348	very long-chain fatty acid metabolic process	7	15	0.0201	0.0004	47.09	10.27
32	348	peroxisomal matrix	1	1220	0.0029	0.0347	0.08	0.0
32	348	long-chain fatty acid metabolic process	4	73	0.0115	0.0021	5.53	2.22
33	480	glucocorticoid metabolic process	1	45	0.0021	0.0013	1.63	0.34
33	480	3-hydroxy-2-methylbutyryl-CoA dehydrogenase activity	1	436	0.0021	0.0124	0.17	0.0
33	480	efflux transmembrane transporter activity	61	941	0.1271	0.0268	4.74	23.18
33	480	sphingolipid translocation	60	79	0.125	0.0022	55.56	95.66
33	480	positive regulation of cell migration	2	223	0.0042	0.0064	0.66	0.09
33	480	leukotriene transport	21	271	0.0437	0.0077	5.67	9.67
33	480	(3S)-3-hydroxyacyl-CoA dehydrogenase (NAD+) activity	1	975	0.0021	0.0278	0.08	0.0
33	480	carboxylic acid transport	21	37	0.0437	0.0011	41.52	29.32
33	480	ATPase-coupled transmembrane transporter activity	1	67	0.0021	0.0019	1.09	0.22
33	480	inflammatory response	1	105	0.0021	0.003	0.7	0.12
33	480	glutathione metabolic process	1	19	0.0021	0.0005	3.85	0.64
33	480	vacuolar membrane	24	40	0.05	0.0011	43.9	34.28
33	480	positive regulation of inflammatory response	21	38	0.0437	0.0011	40.43	28.97
33	480	lateral plasma membrane	60	164	0.125	0.0047	26.77	68.46
33	480	multicellular organism growth	1	17	0.0021	0.0005	4.3	0.68
33	480	ABC-type glutathione S-conjugate transporter activity	368	2783	0.7667	0.0792	9.67	300.0
33	480	xenobiotic metabolic process	40	499	0.0833	0.0142	5.86	18.44
33	480	basal plasma membrane	3	44	0.0063	0.0013	4.99	1.65
33	480	cell junction	62	87	0.1292	0.0025	52.14	95.84
33	480	transmembrane transport	2	127	0.0042	0.0036	1.15	0.28
33	480	ABC-type xenobiotic transporter activity	369	3551	0.7688	0.1011	7.6	268.24
33	480	carboxylic acid transmembrane transporter activity	65	87	0.1354	0.0025	54.66	102.88
33	480	astrocyte differentiation	2	86	0.0042	0.0024	1.7	0.48
33	480	lytic vacuole	24	37	0.05	0.0011	47.46	35.51
33	480	response to xenobiotic stimulus	14	98	0.0292	0.0028	10.45	10.12
33	480	apical plasma membrane	60	5067	0.125	0.1443	0.87	0.05
33	480	cyclic nucleotide transport	64	84	0.1333	0.0024	55.74	102.27
33	480	response to toxic substance	1	39	0.0021	0.0011	1.88	0.38
33	480	phospholipid translocation	60	85	0.125	0.0024	51.64	92.3
33	480	response to glucocorticoid	1	40	0.0021	0.0011	1.83	0.37
33	480	ATPase-coupled lipid transmembrane transporter activity	60	79	0.125	0.0022	55.56	95.66
33	480	glutathione transmembrane transport	16	20	0.0333	0.0006	58.53	26.27
33	480	chromatin binding	1	237	0.0021	0.0067	0.31	0.02
33	480	regulation of membrane potential	1	1212	0.0021	0.0345	0.06	0.0
33	480	phospholipid efflux	2	158	0.0042	0.0045	0.93	0.2
33	480	heme catabolic process	1	101	0.0021	0.0029	0.72	0.12
33	480	lipid transport	303	4600	0.6312	0.131	4.82	145.64
33	480	glutathione transmembrane transporter activity	320	789	0.6667	0.0225	29.67	300.0
33	480	transepithelial transport	60	102	0.125	0.0029	43.04	84.81
33	480	cellular response to amyloid-beta	18	40	0.0375	0.0011	32.92	22.76
33	480	xenobiotic detoxification by transmembrane export across the plasma membrane	2	35	0.0042	0.001	4.18	1.08
33	480	xenobiotic transport across blood-brain barrier	60	102	0.125	0.0029	43.04	84.81
33	480	basolateral plasma membrane	320	3332	0.6667	0.0949	7.03	208.55
33	480	cholate 7-alpha-dehydrogenase (NAD+) activity	1	438	0.0021	0.0125	0.17	0.0
33	480	gene expression	1	124	0.0021	0.0035	0.59	0.09
33	480	leukotriene metabolic process	2	15	0.0042	0.0004	9.75	1.76
33	480	xenobiotic transmembrane transporter activity	5	36	0.0104	0.001	10.16	3.91
33	480	testosterone dehydrogenase (NAD+) activity	1	1038	0.0021	0.0296	0.07	0.0
33	480	hippocampus development	1	15	0.0021	0.0004	4.88	0.73
33	480	protein heterodimerization activity	1	308	0.0021	0.0088	0.24	0.01
33	480	ABC-type vitamin B12 transporter activity	18	35	0.0375	0.001	37.63	24.13
33	480	estradiol 17-beta-dehydrogenase [NAD(P)+] activity	1	2847	0.0021	0.0811	0.03	-0.0
33	480	lipid metabolic process	1	1633	0.0021	0.0465	0.04	0.0
33	480	xenobiotic transport	16	48	0.0333	0.0014	24.39	17.76
33	480	ABC-type transporter activity	5	245	0.0104	0.007	1.49	0.61
33	480	amide transmembrane transporter activity	1	33	0.0021	0.0009	2.22	0.44
33	480	androstan-3-alpha,17-beta-diol dehydrogenase (NAD+) activity	1	943	0.0021	0.0269	0.08	0.0
33	480	export across plasma membrane	60	162	0.125	0.0046	27.1	68.85
33	480	endomembrane system	1	50	0.0021	0.0014	1.46	0.3
34	1177	steroid biosynthetic process	3	557	0.0025	0.0159	0.16	0.0
34	1177	phosphatidylcholine transfer activity	6	80	0.0051	0.0023	2.24	1.28
34	1177	intracellular cholesterol transport	5	57	0.0042	0.0016	2.62	1.38
34	1177	regulation of lipid metabolic process	69	70	0.0586	0.002	29.41	100.78
34	1177	cellular response to cholesterol	1	173	0.0008	0.0049	0.17	0.0
34	1177	lipid hydroperoxide transport	77	77	0.0654	0.0022	29.84	114.62
34	1177	acetyl-CoA C-myristoyltransferase activity	1054	1462	0.8955	0.0416	21.51	300.0
34	1177	cholesterol efflux	2	528	0.0017	0.015	0.11	0.0
34	1177	DNA-templated transcription	2	681	0.0017	0.0194	0.09	0.0
34	1177	signal transduction	1	91	0.0008	0.0026	0.33	0.02
34	1177	(3S)-3-hydroxyacyl-CoA dehydrogenase (NAD+) activity	3	975	0.0025	0.0278	0.09	0.0
34	1177	monooxygenase activity	1	196	0.0008	0.0056	0.15	0.0
34	1177	steroid binding	1	1674	0.0008	0.0477	0.02	-0.0
34	1177	fatty acid beta-oxidation	6	279	0.0051	0.0079	0.64	0.04
34	1177	phosphatidylethanolamine transfer activity	2	71	0.0017	0.002	0.84	0.16
34	1177	fatty acid binding	2	18	0.0017	0.0005	3.32	0.92
34	1177	multicellular organism growth	2	17	0.0017	0.0005	3.51	0.96
34	1177	triglyceride metabolic process	2	590	0.0017	0.0168	0.1	0.0
34	1177	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	1	156	0.0008	0.0044	0.19	0.0
34	1177	regulation of DNA-templated transcription	2	26	0.0017	0.0007	2.3	0.67
34	1177	system development	2	410	0.0017	0.0117	0.15	0.0
34	1177	acetyl-CoA C-acyltransferase activity	1053	1462	0.8946	0.0416	21.49	300.0
34	1177	androgen metabolic process	1	1056	0.0008	0.0301	0.03	0.0
34	1177	propanoyl-CoA C-acyltransferase activity	6	17	0.0051	0.0005	10.53	4.9
34	1177	protein-containing complex binding	2	246	0.0017	0.007	0.24	0.0
34	1177	cholesterol transfer activity	6	937	0.0051	0.0267	0.19	0.0
34	1177	negative regulation of cell population proliferation	2	97	0.0017	0.0028	0.62	0.08
34	1177	phospholipid transport	3	35	0.0025	0.001	2.56	0.95
34	1177	cholesterol binding	76	1642	0.0646	0.0468	1.38	2.53
34	1177	fatty acid beta-oxidation using acyl-CoA oxidase	2	65	0.0017	0.0019	0.92	0.19
34	1177	arachidonate metabolic process	2	36	0.0017	0.001	1.66	0.47
34	1177	protein-containing complex	76	462	0.0646	0.0132	4.91	30.02
34	1177	sterol transport	2	52	0.0017	0.0015	1.15	0.28
34	1177	brassinosteroid biosynthetic process	1	772	0.0008	0.022	0.04	0.0
34	1177	fatty acid biosynthetic process	75	807	0.0637	0.023	2.77	14.64
34	1177	chromatin organization	2	166	0.0017	0.0047	0.36	0.01
34	1177	fatty acid metabolic process	64	1010	0.0544	0.0288	1.89	5.98
34	1177	collagen binding	2	76	0.0017	0.0022	0.79	0.14
34	1177	lipid transport	977	4600	0.8301	0.131	6.34	300.0
34	1177	positive regulation of cholesterol biosynthetic process	2	22	0.0017	0.0006	2.71	0.78
34	1177	acyltransferase activity	2	16	0.0017	0.0005	3.73	1.01
34	1177	oleic acid binding	76	78	0.0646	0.0022	29.07	109.67
34	1177	lipid binding	978	1476	0.8309	0.042	19.77	300.0
34	1177	regulation of lipid biosynthetic process	21	28	0.0178	0.0008	22.38	25.07
34	1177	protein localization to plasma membrane	3	151	0.0025	0.0043	0.59	0.05
34	1177	peroxisome	983	1627	0.8352	0.0463	18.03	300.0
34	1177	lipoprotein metabolic process	2	215	0.0017	0.0061	0.28	0.0
34	1177	gene expression	2	124	0.0017	0.0035	0.48	0.03
34	1177	response to estradiol	1	57	0.0008	0.0016	0.52	0.07
34	1177	cholesterol metabolic process	2	6083	0.0017	0.1732	0.01	-0.0
34	1177	signaling receptor binding	79	1444	0.0671	0.0411	1.63	4.82
34	1177	fatty-acyl-CoA binding	3	210	0.0025	0.006	0.43	0.01
34	1177	long-chain fatty acyl-CoA binding	76	78	0.0646	0.0022	29.07	109.67
34	1177	bile acid biosynthetic process	4	520	0.0034	0.0148	0.23	0.0
34	1177	estradiol 17-beta-dehydrogenase [NAD(P)+] activity	3	2847	0.0025	0.0811	0.03	-0.0
34	1177	lipid metabolic process	919	1633	0.7808	0.0465	16.79	300.0
34	1177	heme binding	1	5655	0.0008	0.161	0.01	-0.0
34	1177	positive regulation of intracellular cholesterol transport	77	77	0.0654	0.0022	29.84	114.62
34	1177	androstan-3-alpha,17-beta-diol dehydrogenase (NAD+) activity	3	943	0.0025	0.0269	0.09	0.0
34	1177	animal organ development	2	351	0.0017	0.01	0.17	0.0
34	1177	positive regulation of apoptotic process	2	15	0.0017	0.0004	3.98	1.05
34	1177	bile acid metabolic process	9	229	0.0076	0.0065	1.17	0.44
34	1177	estrogen metabolic process	1	1660	0.0008	0.0473	0.02	-0.0
34	1177	peroxisomal matrix	7	1220	0.0059	0.0347	0.17	0.0
34	1177	long-chain fatty acid metabolic process	2	73	0.0017	0.0021	0.82	0.15
35	626	3-hydroxy-2-methylbutyryl-CoA dehydrogenase activity	1	436	0.0016	0.0124	0.13	0.0
35	626	steroid biosynthetic process	5	557	0.008	0.0159	0.5	0.01
35	626	steroid metabolic process	8	321	0.0128	0.0091	1.4	0.66
35	626	3-beta-hydroxysteroid 3-dehydrogenase (NADP+) activity	7	895	0.0112	0.0255	0.44	0.0
35	626	oxidoreductase complex	64	65	0.1022	0.0019	55.23	111.55
35	626	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	16	274	0.0256	0.0078	3.28	4.41
35	626	DNA-templated transcription	1	681	0.0016	0.0194	0.08	0.0
35	626	(3S)-3-hydroxyacyl-CoA dehydrogenase (NAD+) activity	1	975	0.0016	0.0278	0.06	0.0
35	626	negative regulation of apoptotic process	7	225	0.0112	0.0064	1.75	0.96
35	626	protein dimerization activity	1	31	0.0016	0.0009	1.81	0.37
35	626	(3R)-3-hydroxyacyl-CoA dehydrogenase (NAD+) activity	70	130	0.1118	0.0037	30.21	86.74
35	626	oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor	4	77	0.0064	0.0022	2.91	1.31
35	626	quinone binding	509	538	0.8131	0.0153	53.07	300.0
35	626	alcohol metabolic process	3	119	0.0048	0.0034	1.41	0.45
35	626	androgen metabolic process	3	1056	0.0048	0.0301	0.16	0.0
35	626	retinal metabolic process	7	27	0.0112	0.0008	14.54	6.44
35	626	positive regulation of reactive oxygen species metabolic process	3	47	0.0048	0.0013	3.58	1.29
35	626	steroid catabolic process	2	962	0.0032	0.0274	0.12	0.0
35	626	response to toxic substance	7	39	0.0112	0.0011	10.07	5.29
35	626	positive regulation of transcription by RNA polymerase II	1	282	0.0016	0.008	0.2	0.0
35	626	mitochondrial envelope	59	60	0.0942	0.0017	55.16	102.62
35	626	nuclear envelope	7	191	0.0112	0.0054	2.06	1.25
35	626	estrogen biosynthetic process	162	1149	0.2588	0.0327	7.91	97.38
35	626	fatty acid biosynthetic process	525	807	0.8387	0.023	36.49	300.0
35	626	fatty acid metabolic process	1	1010	0.0016	0.0288	0.06	0.0
35	626	androsterone dehydrogenase [NAD(P)+] activity	1	38	0.0016	0.0011	1.48	0.31
35	626	protein heterotetramerization	66	67	0.1054	0.0019	55.26	115.13
35	626	retinal dehydrogenase (NAD+) activity	2	15	0.0032	0.0004	7.48	1.54
35	626	cholate 7-alpha-dehydrogenase (NAD+) activity	1	438	0.0016	0.0125	0.13	0.0
35	626	peroxisome	9	1627	0.0144	0.0463	0.31	0.0
35	626	carbonyl reductase (NADPH) activity	17	327	0.0272	0.0093	2.92	4.03
35	626	testosterone dehydrogenase (NAD+) activity	526	1038	0.8403	0.0296	28.43	300.0
35	626	NADH binding	66	67	0.1054	0.0019	55.26	115.13
35	626	estradiol 17-beta-dehydrogenase [NAD(P)+] activity	529	2847	0.845	0.0811	10.42	300.0
35	626	heme binding	1	5655	0.0016	0.161	0.01	-0.0
35	626	androstan-3-alpha,17-beta-diol dehydrogenase (NAD+) activity	2	943	0.0032	0.0269	0.12	0.0
35	626	estrogen metabolic process	366	1660	0.5847	0.0473	12.37	300.0
35	626	all-trans-retinol dehydrogenase (NADP+) activity	16	25	0.0256	0.0007	35.9	21.82
35	626	peroxisomal matrix	1	1220	0.0016	0.0347	0.05	0.0
36	166	phosphatidylcholine binding	1	737	0.006	0.021	0.29	0.01
36	166	estrogen 16-alpha-hydroxylase activity	7	240	0.0422	0.0068	6.17	3.81
36	166	GTP binding	1	50	0.006	0.0014	4.23	0.68
36	166	steroid biosynthetic process	1	557	0.006	0.0159	0.38	0.03
36	166	steroid metabolic process	16	321	0.0964	0.0091	10.54	11.45
36	166	heat shock protein binding	16	134	0.0964	0.0038	25.26	17.43
36	166	intracellular cholesterol transport	7	57	0.0422	0.0016	25.98	8.0
36	166	phospholipid homeostasis	16	762	0.0964	0.0217	4.44	6.12
36	166	cholesterol efflux	22	528	0.1325	0.015	8.81	14.0
36	166	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen	1	472	0.006	0.0134	0.45	0.05
36	166	magnesium ion binding	11	681	0.0663	0.0194	3.42	3.38
