accession	entry_name	protein_names	organism	decision	reason	current_rhea_ids	current_rxn_chebis	current_ligand_chebis
A0A016SKM3	A0A016SKM3_9BILA	3-hydroxyacyl-CoA dehydrogenase type-2 (EC 1.1.1.53) (EC 1.1.1.62) (3-hydroxyacyl-CoA dehydrogenase type II) (Mitochondr	Ancylostoma ceylanicum	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:15994', 'CHEBI:16330', 'CHEBI:16469']	RHEA:22432;RHEA:24612;RHEA:30799;RHEA:41992;RHEA:42004;RHEA:42008;RHEA:42012;RHEA:42016;RHEA:42020;RHEA:42024;RHEA:42028	CHEBI:15378;CHEBI:15994;CHEBI:16330;CHEBI:16469;CHEBI:16962;CHEBI:17263;CHEBI:17650;CHEBI:28952;CHEBI:36713;CHEBI:57286;CHEBI:57316;CHEBI:57318;CHEBI:57540;CHEBI:57945;CHEBI:78594;CHEBI:78595;CHEBI:78596;CHEBI:78600;CHEBI:78601;CHEBI:78602;CHEBI:78603;CHEBI:78604;CHEBI:78605;CHEBI:90726	
A0A016VA76	A0A016VA76_9BILA	Sterol carrier protein 2 (EC 2.3.1.155) (EC 2.3.1.16) (EC 2.3.1.176) (Acetyl-CoA C-myristoyltransferase) (Non-specific l	Ancylostoma ceylanicum	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:17759', 'CHEBI:57373', 'CHEBI:58507']	RHEA:16865;RHEA:18161;RHEA:21564;RHEA:31087;RHEA:31091;RHEA:31111;RHEA:31183;RHEA:31203;RHEA:35279;RHEA:40343;RHEA:46344;RHEA:47400;RHEA:62960	CHEBI:17759;CHEBI:57287;CHEBI:57288;CHEBI:57349;CHEBI:57371;CHEBI:57373;CHEBI:57375;CHEBI:57379;CHEBI:57385;CHEBI:57386;CHEBI:57392;CHEBI:58342;CHEBI:58507;CHEBI:61430;CHEBI:62418;CHEBI:62543;CHEBI:62548;CHEBI:62615;CHEBI:62619;CHEBI:62620;CHEBI:71407;CHEBI:77081;CHEBI:77084;CHEBI:86042;CHEBI:87695;CHEBI:87698;CHEBI:90726	
A0A016VXS0	A0A016VXS0_9BILA	(3R)-3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.239) (EC 1.1.1.n12) (17-beta-hydroxysteroid dehydrogenase 8) (3-ketoacyl-	Ancylostoma ceylanicum	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:15994', 'CHEBI:16330', 'CHEBI:16422']	RHEA:14929;RHEA:24612;RHEA:32711;RHEA:41992	CHEBI:15378;CHEBI:15994;CHEBI:16330;CHEBI:16422;CHEBI:16469;CHEBI:17263;CHEBI:17347;CHEBI:57319;CHEBI:57540;CHEBI:57945;CHEBI:90726	
A0A017S8M2	A0A017S8M2_ASPRC	sterol 14alpha-demethylase (EC 1.14.14.154)	Aspergillus ruber (strain CBS 135680)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:138029', 'CHEBI:138031', 'CHEBI:16521']	RHEA:25286;RHEA:54028;RHEA:68060;RHEA:68064;RHEA:68068;RHEA:75103;RHEA:75107;RHEA:75111;RHEA:75427;RHEA:75431;RHEA:75435;RHEA:75439;RHEA:RHEA-COMP:11964;RHEA:RHEA-COMP:11965	CHEBI:138029;CHEBI:138031;CHEBI:15377;CHEBI:15378;CHEBI:15379;CHEBI:15740;CHEBI:16521;CHEBI:166681;CHEBI:166806;CHEBI:176901;CHEBI:176902;CHEBI:17813;CHEBI:194328;CHEBI:194329;CHEBI:194330;CHEBI:57618;CHEBI:58210;CHEBI:70315	CHEBI:30413
A0A017SGW5	A0A017SGW5_ASPRC	sterol 14alpha-demethylase (EC 1.14.14.154)	Aspergillus ruber (strain CBS 135680)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:138029', 'CHEBI:138031', 'CHEBI:16521']	RHEA:25286;RHEA:54028;RHEA:68060;RHEA:68064;RHEA:68068;RHEA:75103;RHEA:75107;RHEA:75111;RHEA:75427;RHEA:75431;RHEA:75435;RHEA:75439;RHEA:RHEA-COMP:11964;RHEA:RHEA-COMP:11965	CHEBI:138029;CHEBI:138031;CHEBI:15377;CHEBI:15378;CHEBI:15379;CHEBI:15740;CHEBI:16521;CHEBI:166681;CHEBI:166806;CHEBI:176901;CHEBI:176902;CHEBI:17813;CHEBI:194328;CHEBI:194329;CHEBI:194330;CHEBI:57618;CHEBI:58210;CHEBI:70315	CHEBI:30413
A0A022Q4E5	A0A022Q4E5_ERYGU	22alpha-hydroxysteroid 23-monooxygenase (EC 1.14.14.147) ((22R,23R)-22,23-dihydroxy-campest-4-en-3-one synthase) ((22R,2	Erythranthe guttata (Yellow monkey flower) (Mimulus guttatus)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:20710', 'CHEBI:59411']	RHEA:27321;RHEA:27325;RHEA:RHEA-COMP:11964;RHEA:RHEA-COMP:11965	CHEBI:15377;CHEBI:15378;CHEBI:15379;CHEBI:20710;CHEBI:20717;CHEBI:57618;CHEBI:58210;CHEBI:59410;CHEBI:59411	CHEBI:30413
A0A022QXB8	A0A022QXB8_ERYGU	22alpha-hydroxysteroid 23-monooxygenase (EC 1.14.14.147) ((22R,23R)-22,23-dihydroxy-campest-4-en-3-one synthase) ((22R,2	Erythranthe guttata (Yellow monkey flower) (Mimulus guttatus)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:20710', 'CHEBI:59411']	RHEA:27321;RHEA:27325;RHEA:RHEA-COMP:11964;RHEA:RHEA-COMP:11965	CHEBI:15377;CHEBI:15378;CHEBI:15379;CHEBI:20710;CHEBI:20717;CHEBI:57618;CHEBI:58210;CHEBI:59410;CHEBI:59411	CHEBI:30413
A0A022XM30	A0A022XM30_TRISD	sterol 14alpha-demethylase (EC 1.14.14.154)	Trichophyton soudanense CBS 452.61	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:138029', 'CHEBI:138031', 'CHEBI:16521']	RHEA:25286;RHEA:54028;RHEA:68060;RHEA:68064;RHEA:68068;RHEA:75103;RHEA:75107;RHEA:75111;RHEA:75427;RHEA:75431;RHEA:75435;RHEA:75439;RHEA:RHEA-COMP:11964;RHEA:RHEA-COMP:11965	CHEBI:138029;CHEBI:138031;CHEBI:15377;CHEBI:15378;CHEBI:15379;CHEBI:15740;CHEBI:16521;CHEBI:166681;CHEBI:166806;CHEBI:176901;CHEBI:176902;CHEBI:17813;CHEBI:194328;CHEBI:194329;CHEBI:194330;CHEBI:57618;CHEBI:58210;CHEBI:70315	CHEBI:30413
A0A022XPR2	A0A022XPR2_TRISD	sterol 14alpha-demethylase (EC 1.14.14.154)	Trichophyton soudanense CBS 452.61	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:138029', 'CHEBI:138031', 'CHEBI:16521']	RHEA:25286;RHEA:54028;RHEA:68060;RHEA:68064;RHEA:68068;RHEA:75103;RHEA:75107;RHEA:75111;RHEA:75427;RHEA:75431;RHEA:75435;RHEA:75439;RHEA:RHEA-COMP:11964;RHEA:RHEA-COMP:11965	CHEBI:138029;CHEBI:138031;CHEBI:15377;CHEBI:15378;CHEBI:15379;CHEBI:15740;CHEBI:16521;CHEBI:166681;CHEBI:166806;CHEBI:176901;CHEBI:176902;CHEBI:17813;CHEBI:194328;CHEBI:194329;CHEBI:194330;CHEBI:57618;CHEBI:58210;CHEBI:70315	CHEBI:30413
A0A023ENT8	A0A023ENT8_AEDAL	3-hydroxyacyl-CoA dehydrogenase type-2 (EC 1.1.1.53) (EC 1.1.1.62) (3-hydroxyacyl-CoA dehydrogenase type II) (Mitochondr	Aedes albopictus (Asian tiger mosquito) (Stegomyia albopicta)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:15994', 'CHEBI:16330', 'CHEBI:16469']	RHEA:22432;RHEA:24612;RHEA:30799;RHEA:41992;RHEA:42004;RHEA:42008;RHEA:42012;RHEA:42016;RHEA:42020;RHEA:42024;RHEA:42028	CHEBI:15378;CHEBI:15994;CHEBI:16330;CHEBI:16469;CHEBI:16962;CHEBI:17263;CHEBI:17650;CHEBI:28952;CHEBI:36713;CHEBI:57286;CHEBI:57316;CHEBI:57318;CHEBI:57540;CHEBI:57945;CHEBI:78594;CHEBI:78595;CHEBI:78596;CHEBI:78600;CHEBI:78601;CHEBI:78602;CHEBI:78603;CHEBI:78604;CHEBI:78605;CHEBI:90726	
A0A023EQ83	A0A023EQ83_AEDAL	3-hydroxyacyl-CoA dehydrogenase type-2 (EC 1.1.1.53) (EC 1.1.1.62) (3-hydroxyacyl-CoA dehydrogenase type II) (Mitochondr	Aedes albopictus (Asian tiger mosquito) (Stegomyia albopicta)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:15994', 'CHEBI:16330', 'CHEBI:16469']	RHEA:22432;RHEA:24612;RHEA:30799;RHEA:41992;RHEA:42004;RHEA:42008;RHEA:42012;RHEA:42016;RHEA:42020;RHEA:42024;RHEA:42028	CHEBI:15378;CHEBI:15994;CHEBI:16330;CHEBI:16469;CHEBI:16962;CHEBI:17263;CHEBI:17650;CHEBI:28952;CHEBI:36713;CHEBI:57286;CHEBI:57316;CHEBI:57318;CHEBI:57540;CHEBI:57945;CHEBI:78594;CHEBI:78595;CHEBI:78596;CHEBI:78600;CHEBI:78601;CHEBI:78602;CHEBI:78603;CHEBI:78604;CHEBI:78605;CHEBI:90726	
A0A023EUU2	A0A023EUU2_AEDAL	Sterol carrier protein 2 (EC 2.3.1.155) (EC 2.3.1.16) (EC 2.3.1.176) (Acetyl-CoA C-myristoyltransferase) (Non-specific l	Aedes albopictus (Asian tiger mosquito) (Stegomyia albopicta)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:17759', 'CHEBI:57373', 'CHEBI:58507']	RHEA:16865;RHEA:18161;RHEA:21564;RHEA:31087;RHEA:31091;RHEA:31111;RHEA:31183;RHEA:31203;RHEA:35279;RHEA:40343;RHEA:46344;RHEA:47400;RHEA:62960	CHEBI:17759;CHEBI:57287;CHEBI:57288;CHEBI:57349;CHEBI:57371;CHEBI:57373;CHEBI:57375;CHEBI:57379;CHEBI:57385;CHEBI:57386;CHEBI:57392;CHEBI:58342;CHEBI:58507;CHEBI:61430;CHEBI:62418;CHEBI:62543;CHEBI:62548;CHEBI:62615;CHEBI:62619;CHEBI:62620;CHEBI:71407;CHEBI:77081;CHEBI:77084;CHEBI:86042;CHEBI:87695;CHEBI:87698;CHEBI:90726	
A0A023EUU7	A0A023EUU7_AEDAL	Sterol carrier protein 2 (EC 2.3.1.155) (EC 2.3.1.16) (EC 2.3.1.176) (Acetyl-CoA C-myristoyltransferase) (Non-specific l	Aedes albopictus (Asian tiger mosquito) (Stegomyia albopicta)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:17759', 'CHEBI:57373', 'CHEBI:58507']	RHEA:16865;RHEA:18161;RHEA:21564;RHEA:31087;RHEA:31091;RHEA:31111;RHEA:31183;RHEA:31203;RHEA:35279;RHEA:40343;RHEA:46344;RHEA:47400;RHEA:62960	CHEBI:17759;CHEBI:57287;CHEBI:57288;CHEBI:57349;CHEBI:57371;CHEBI:57373;CHEBI:57375;CHEBI:57379;CHEBI:57385;CHEBI:57386;CHEBI:57392;CHEBI:58342;CHEBI:58507;CHEBI:61430;CHEBI:62418;CHEBI:62543;CHEBI:62548;CHEBI:62615;CHEBI:62619;CHEBI:62620;CHEBI:71407;CHEBI:77081;CHEBI:77084;CHEBI:86042;CHEBI:87695;CHEBI:87698;CHEBI:90726	
A0A023F9Q1	A0A023F9Q1_TRIIF	3-hydroxyacyl-CoA dehydrogenase type-2 (EC 1.1.1.53) (EC 1.1.1.62) (3-hydroxyacyl-CoA dehydrogenase type II) (Mitochondr	Triatoma infestans (Assassin bug)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:15994', 'CHEBI:16330', 'CHEBI:16469']	RHEA:22432;RHEA:24612;RHEA:30799;RHEA:41992;RHEA:42004;RHEA:42008;RHEA:42012;RHEA:42016;RHEA:42020;RHEA:42024;RHEA:42028	CHEBI:15378;CHEBI:15994;CHEBI:16330;CHEBI:16469;CHEBI:16962;CHEBI:17263;CHEBI:17650;CHEBI:28952;CHEBI:36713;CHEBI:57286;CHEBI:57316;CHEBI:57318;CHEBI:57540;CHEBI:57945;CHEBI:78594;CHEBI:78595;CHEBI:78596;CHEBI:78600;CHEBI:78601;CHEBI:78602;CHEBI:78603;CHEBI:78604;CHEBI:78605;CHEBI:90726	
A0A023FCJ4	A0A023FCJ4_TRIIF	Sterol carrier protein 2 (EC 2.3.1.155) (EC 2.3.1.16) (EC 2.3.1.176) (Acetyl-CoA C-myristoyltransferase) (Non-specific l	Triatoma infestans (Assassin bug)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:17759', 'CHEBI:57373', 'CHEBI:58507']	RHEA:16865;RHEA:18161;RHEA:21564;RHEA:31087;RHEA:31091;RHEA:31111;RHEA:31183;RHEA:31203;RHEA:35279;RHEA:40343;RHEA:46344;RHEA:47400;RHEA:62960	CHEBI:17759;CHEBI:57287;CHEBI:57288;CHEBI:57349;CHEBI:57371;CHEBI:57373;CHEBI:57375;CHEBI:57379;CHEBI:57385;CHEBI:57386;CHEBI:57392;CHEBI:58342;CHEBI:58507;CHEBI:61430;CHEBI:62418;CHEBI:62543;CHEBI:62548;CHEBI:62615;CHEBI:62619;CHEBI:62620;CHEBI:71407;CHEBI:77081;CHEBI:77084;CHEBI:86042;CHEBI:87695;CHEBI:87698;CHEBI:90726	
A0A023FLX5	A0A023FLX5_AMBCJ	3-hydroxyacyl-CoA dehydrogenase type-2 (EC 1.1.1.53) (EC 1.1.1.62) (3-hydroxyacyl-CoA dehydrogenase type II) (Mitochondr	Amblyomma cajennense (Cayenne tick) (Acarus cajennensis)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:15994', 'CHEBI:16330', 'CHEBI:16469']	RHEA:22432;RHEA:24612;RHEA:30799;RHEA:41992;RHEA:42004;RHEA:42008;RHEA:42012;RHEA:42016;RHEA:42020;RHEA:42024;RHEA:42028	CHEBI:15378;CHEBI:15994;CHEBI:16330;CHEBI:16469;CHEBI:16962;CHEBI:17263;CHEBI:17650;CHEBI:28952;CHEBI:36713;CHEBI:57286;CHEBI:57316;CHEBI:57318;CHEBI:57540;CHEBI:57945;CHEBI:78594;CHEBI:78595;CHEBI:78596;CHEBI:78600;CHEBI:78601;CHEBI:78602;CHEBI:78603;CHEBI:78604;CHEBI:78605;CHEBI:90726	
A0A023FVV6	A0A023FVV6_AMBPA	3-hydroxyacyl-CoA dehydrogenase type-2 (EC 1.1.1.53) (EC 1.1.1.62) (3-hydroxyacyl-CoA dehydrogenase type II) (Mitochondr	Amblyomma parvum (South American tick)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:15994', 'CHEBI:16330', 'CHEBI:16469']	RHEA:22432;RHEA:24612;RHEA:30799;RHEA:41992;RHEA:42004;RHEA:42008;RHEA:42012;RHEA:42016;RHEA:42020;RHEA:42024;RHEA:42028	CHEBI:15378;CHEBI:15994;CHEBI:16330;CHEBI:16469;CHEBI:16962;CHEBI:17263;CHEBI:17650;CHEBI:28952;CHEBI:36713;CHEBI:57286;CHEBI:57316;CHEBI:57318;CHEBI:57540;CHEBI:57945;CHEBI:78594;CHEBI:78595;CHEBI:78596;CHEBI:78600;CHEBI:78601;CHEBI:78602;CHEBI:78603;CHEBI:78604;CHEBI:78605;CHEBI:90726	
A0A023I9D7	A0A023I9D7_SPAAU	Carboxylic ester hydrolase (EC 3.1.1.-)	Sparus aurata (Gilthead sea bream)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:15889', 'CHEBI:16113', 'CHEBI:46898']	RHEA:10100;RHEA:12044;RHEA:12957;RHEA:33875;RHEA:38575;RHEA:47348;RHEA:47864;RHEA:52048;RHEA:52052;RHEA:52056;RHEA:52060;RHEA:52064;RHEA:52068;RHEA:52072;RHEA:52076;RHEA:52080;RHEA:52084;RHEA:52092;RHEA:52096	CHEBI:136282;CHEBI:136286;CHEBI:136302;CHEBI:136303;CHEBI:136304;CHEBI:136309;CHEBI:136312;CHEBI:136315;CHEBI:136330;CHEBI:136335;CHEBI:136369;CHEBI:136370;CHEBI:136373;CHEBI:15377;CHEBI:15378;CHEBI:15889;CHEBI:16113;CHEBI:17855;CHEBI:17968;CHEBI:18035;CHEBI:25629;CHEBI:25646;CHEBI:2571;CHEBI:28868;CHEBI:30089;CHEBI:30823;CHEBI:32372;CHEBI:35915;CHEBI:46898;CHEBI:47622;CHEBI:50477;CHEBI:53753;CHEBI:75945;CHEBI:76978;CHEBI:7896;CHEBI:83670;CHEBI:83677;CHEBI:84201;CHEBI:88066	
A0A023T480	A0A023T480_ASPFM	sterol 14alpha-demethylase (EC 1.14.14.154)	Aspergillus fumigatus (Neosartorya fumigata)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:138029', 'CHEBI:138031', 'CHEBI:16521']	RHEA:25286;RHEA:54028;RHEA:68060;RHEA:68064;RHEA:68068;RHEA:75103;RHEA:75107;RHEA:75111;RHEA:75427;RHEA:75431;RHEA:75435;RHEA:75439;RHEA:RHEA-COMP:11964;RHEA:RHEA-COMP:11965	CHEBI:138029;CHEBI:138031;CHEBI:15377;CHEBI:15378;CHEBI:15379;CHEBI:15740;CHEBI:16521;CHEBI:166681;CHEBI:166806;CHEBI:176901;CHEBI:176902;CHEBI:17813;CHEBI:194328;CHEBI:194329;CHEBI:194330;CHEBI:57618;CHEBI:58210;CHEBI:70315	CHEBI:30413
A0A024R5F7	A0A024R5F7_HUMAN	7-dehydrocholesterol reductase (7-DHC) (EC 1.3.1.21) (Sterol Delta(7)-reductase)	Homo sapiens (Human)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:16113', 'CHEBI:17737', 'CHEBI:17759']	RHEA:11964;RHEA:15113;RHEA:23984;RHEA:46740	CHEBI:15377;CHEBI:15378;CHEBI:16113;CHEBI:17737;CHEBI:17759;CHEBI:27910;CHEBI:28082;CHEBI:28164;CHEBI:49305;CHEBI:57783;CHEBI:58349	
A0A026VYY2	A0A026VYY2_OOCBI	Hedgehog protein	Ooceraea biroi (Clonal raider ant) (Cerapachys biroi)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:143135', 'CHEBI:16113']	RHEA:59504;RHEA:RHEA-COMP:12707;RHEA:RHEA-COMP:15369;RHEA:RHEA-COMP:15374	CHEBI:143135;CHEBI:143140;CHEBI:15378;CHEBI:16113;CHEBI:65250	
A0A026W7N4	A0A026W7N4_OOCBI	3-hydroxyacyl-CoA dehydrogenase type-2 (EC 1.1.1.53) (EC 1.1.1.62) (3-hydroxyacyl-CoA dehydrogenase type II) (Mitochondr	Ooceraea biroi (Clonal raider ant) (Cerapachys biroi)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:15994', 'CHEBI:16330', 'CHEBI:16469']	RHEA:22432;RHEA:24612;RHEA:30799;RHEA:41992;RHEA:42004;RHEA:42008;RHEA:42012;RHEA:42016;RHEA:42020;RHEA:42024;RHEA:42028	CHEBI:15378;CHEBI:15994;CHEBI:16330;CHEBI:16469;CHEBI:16962;CHEBI:17263;CHEBI:17650;CHEBI:28952;CHEBI:36713;CHEBI:57286;CHEBI:57316;CHEBI:57318;CHEBI:57540;CHEBI:57945;CHEBI:78594;CHEBI:78595;CHEBI:78596;CHEBI:78600;CHEBI:78601;CHEBI:78602;CHEBI:78603;CHEBI:78604;CHEBI:78605;CHEBI:90726	
A0A026WVM4	A0A026WVM4_OOCBI	Sterol carrier protein 2 (EC 2.3.1.155) (EC 2.3.1.16) (EC 2.3.1.176) (Acetyl-CoA C-myristoyltransferase) (Non-specific l	Ooceraea biroi (Clonal raider ant) (Cerapachys biroi)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:17759', 'CHEBI:57373', 'CHEBI:58507']	RHEA:16865;RHEA:18161;RHEA:21564;RHEA:31087;RHEA:31091;RHEA:31111;RHEA:31183;RHEA:31203;RHEA:35279;RHEA:40343;RHEA:46344;RHEA:47400;RHEA:62960	CHEBI:17759;CHEBI:57287;CHEBI:57288;CHEBI:57349;CHEBI:57371;CHEBI:57373;CHEBI:57375;CHEBI:57379;CHEBI:57385;CHEBI:57386;CHEBI:57392;CHEBI:58342;CHEBI:58507;CHEBI:61430;CHEBI:62418;CHEBI:62543;CHEBI:62548;CHEBI:62615;CHEBI:62619;CHEBI:62620;CHEBI:71407;CHEBI:77081;CHEBI:77084;CHEBI:86042;CHEBI:87695;CHEBI:87698;CHEBI:90726	
A0A034V8N2	A0A034V8N2_BACDO	Sterol carrier protein 2 (EC 2.3.1.155) (EC 2.3.1.16) (EC 2.3.1.176) (Acetyl-CoA C-myristoyltransferase) (Non-specific l	Bactrocera dorsalis (Oriental fruit fly) (Dacus dorsalis)	KEEP_ANNOTATION	name mentions ['sterol']			
A0A034WE56	A0A034WE56_BACDO	Hedgehog protein	Bactrocera dorsalis (Oriental fruit fly) (Dacus dorsalis)	DROP_STALE	no current Rhea reactions or ligand annotations at all			
A0A034WG91	A0A034WG91_BACDO	3-hydroxyacyl-CoA dehydrogenase type-2 (EC 1.1.1.53) (EC 1.1.1.62) (3-hydroxyacyl-CoA dehydrogenase type II) (Mitochondr	Bactrocera dorsalis (Oriental fruit fly) (Dacus dorsalis)	DROP_STALE	no current Rhea reactions or ligand annotations at all			
A0A034WJ56	A0A034WJ56_BACDO	(3R)-3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.239) (EC 1.1.1.n12) (17-beta-hydroxysteroid dehydrogenase 8) (3-ketoacyl-	Bactrocera dorsalis (Oriental fruit fly) (Dacus dorsalis)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:15994', 'CHEBI:16330', 'CHEBI:16422']	RHEA:14929;RHEA:24612;RHEA:32711;RHEA:41992	CHEBI:15378;CHEBI:15994;CHEBI:16330;CHEBI:16422;CHEBI:16469;CHEBI:17263;CHEBI:17347;CHEBI:57319;CHEBI:57540;CHEBI:57945;CHEBI:90726	
A0A059AGX6	A0A059AGX6_EUCGR	22alpha-hydroxysteroid 23-monooxygenase (EC 1.14.14.147) ((22R,23R)-22,23-dihydroxy-campest-4-en-3-one synthase) ((22R,2	Eucalyptus grandis (Flooded gum)	KEEP_ANNOTATION	name mentions ['steroid', 'sterol']			
A0A059BVS8	A0A059BVS8_EUCGR	22alpha-hydroxysteroid 23-monooxygenase (EC 1.14.14.147) ((22R,23R)-22,23-dihydroxy-campest-4-en-3-one synthase) ((22R,2	Eucalyptus grandis (Flooded gum)	KEEP_ANNOTATION	name mentions ['steroid', 'sterol']			
A0A059IZP5	A0A059IZP5_TRIIM	sterol 14alpha-demethylase (EC 1.14.14.154)	Trichophyton interdigitale (strain MR816)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:138029', 'CHEBI:138031', 'CHEBI:16521']	RHEA:25286;RHEA:54028;RHEA:68060;RHEA:68064;RHEA:68068;RHEA:75103;RHEA:75107;RHEA:75111;RHEA:75427;RHEA:75431;RHEA:75435;RHEA:75439;RHEA:RHEA-COMP:11964;RHEA:RHEA-COMP:11965	CHEBI:138029;CHEBI:138031;CHEBI:15377;CHEBI:15378;CHEBI:15379;CHEBI:15740;CHEBI:16521;CHEBI:166681;CHEBI:166806;CHEBI:176901;CHEBI:176902;CHEBI:17813;CHEBI:194328;CHEBI:194329;CHEBI:194330;CHEBI:57618;CHEBI:58210;CHEBI:70315	CHEBI:30413
A0A059J839	A0A059J839_TRIIM	sterol 14alpha-demethylase (EC 1.14.14.154)	Trichophyton interdigitale (strain MR816)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:138029', 'CHEBI:138031', 'CHEBI:16521']	RHEA:25286;RHEA:54028;RHEA:68060;RHEA:68064;RHEA:68068;RHEA:75103;RHEA:75107;RHEA:75111;RHEA:75427;RHEA:75431;RHEA:75435;RHEA:75439;RHEA:RHEA-COMP:11964;RHEA:RHEA-COMP:11965	CHEBI:138029;CHEBI:138031;CHEBI:15377;CHEBI:15378;CHEBI:15379;CHEBI:15740;CHEBI:16521;CHEBI:166681;CHEBI:166806;CHEBI:176901;CHEBI:176902;CHEBI:17813;CHEBI:194328;CHEBI:194329;CHEBI:194330;CHEBI:57618;CHEBI:58210;CHEBI:70315	CHEBI:30413
A0A060KPY0	A0A060KPY0_PANTA	3-hydroxyacyl-CoA dehydrogenase type-2 (EC 1.1.1.159) (EC 1.1.1.178) (EC 1.1.1.239) (EC 1.1.1.35) (EC 1.1.1.53) (EC 1.1.	Panthera tigris altaica (Siberian tiger)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:11893', 'CHEBI:15994', 'CHEBI:16330']	RHEA:13281;RHEA:14929;RHEA:19409;RHEA:22432;RHEA:24612;RHEA:30799;RHEA:31159;RHEA:31195;RHEA:41980;RHEA:41992;RHEA:42004;RHEA:42008;RHEA:42012;RHEA:42016;RHEA:42020;RHEA:42024;RHEA:42028;RHEA:42036	CHEBI:11893;CHEBI:15378;CHEBI:15994;CHEBI:16330;CHEBI:16422;CHEBI:16469;CHEBI:16962;CHEBI:17263;CHEBI:17347;CHEBI:17650;CHEBI:28952;CHEBI:29747;CHEBI:36234;CHEBI:36713;CHEBI:50169;CHEBI:57286;CHEBI:57312;CHEBI:57316;CHEBI:57318;CHEBI:57335;CHEBI:57349;CHEBI:57540;CHEBI:57945;CHEBI:62613;CHEBI:62617;CHEBI:62619;CHEBI:78594;CHEBI:78595;CHEBI:78596;CHEBI:78600;CHEBI:78601;CHEBI:78602;CHEBI:78603;CHEBI:78604;CHEBI:78605;CHEBI:90726	
A0A060THG7	A0A060THG7_BLAAD	sterol 14alpha-demethylase (EC 1.14.14.154) (Cytochrome P450 51) (Cytochrome P450-14DM) (Cytochrome P450-LIA1) (Sterol 1	Blastobotrys adeninivorans (Yeast) (Arxula adeninivorans)	KEEP_ANNOTATION	name mentions ['sterol']			
A0A060VP01	A0A060VP01_ONCMY	Hormone-sensitive lipase (EC 3.1.1.23) (EC 3.1.1.79) (Monoacylglycerol lipase LIPE) (Retinyl ester hydrolase)	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	DROP_STALE	no current Rhea reactions or ligand annotations at all			
A0A060VP13	A0A060VP13_ONCMY	Hedgehog protein	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	DROP_STALE	no current Rhea reactions or ligand annotations at all			
A0A060VRD9	A0A060VRD9_ONCMY	(3R)-3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.239) (EC 1.1.1.62) (EC 1.1.1.n12) (17-beta-hydroxysteroid dehydrogenase 8	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	KEEP_ANNOTATION	name mentions ['steroid', 'estradiol']			
A0A060W0I4	A0A060W0I4_ONCMY	Hedgehog protein	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	DROP_STALE	no current Rhea reactions or ligand annotations at all			
A0A060WKQ1	A0A060WKQ1_ONCMY	Lanosterol 14-alpha demethylase (EC 1.14.14.154)	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	KEEP_ANNOTATION	name mentions ['sterol']			
