accession	entry_name	protein_names	organism	decision	reason	current_rhea_ids	current_rxn_chebis	current_ligand_chebis
A0A7L4HRY7	A0A7L4HRY7_SCOUM	Glucosylceramidase (EC 3.2.1.45)	Scopus umbretta (Hammerkop)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:16113', 'CHEBI:17495', 'CHEBI:189066']	RHEA:11956;RHEA:13269;RHEA:14297;RHEA:58264;RHEA:58324;RHEA:70235;RHEA:70239;RHEA:70251;RHEA:70255;RHEA:70303;RHEA:70307;RHEA:70311;RHEA:70315	CHEBI:139140;CHEBI:15377;CHEBI:16113;CHEBI:17495;CHEBI:18390;CHEBI:189066;CHEBI:189067;CHEBI:189068;CHEBI:189081;CHEBI:22801;CHEBI:4139;CHEBI:4167;CHEBI:45815;CHEBI:52639;CHEBI:65222;CHEBI:72956;CHEBI:72961;CHEBI:73432;CHEBI:74450;CHEBI:76297;CHEBI:76302;CHEBI:77996;CHEBI:84719	
A0A7L4HXF5	A0A7L4HXF5_SCOUM	Hepatic sodium/bile acid cotransporter (Na(+)/bile acid cotransporter) (Na(+)/taurocholate transport protein) (Sodium/ta	Scopus umbretta (Hammerkop)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:132028', 'CHEBI:191405', 'CHEBI:191407']	RHEA:51840;RHEA:71083;RHEA:71875;RHEA:71911;RHEA:71915;RHEA:71923;RHEA:71927;RHEA:71935;RHEA:72087;RHEA:72167;RHEA:72171;RHEA:72179	CHEBI:132028;CHEBI:133064;CHEBI:191405;CHEBI:191406;CHEBI:191407;CHEBI:29101;CHEBI:29746;CHEBI:29747;CHEBI:36257;CHEBI:36261;CHEBI:58874;CHEBI:60050;CHEBI:9407	
A0A7L4I0E4	A0A7L4I0E4_SCOUM	Lanosterol 14-alpha demethylase (EC 1.14.14.154)	Scopus umbretta (Hammerkop)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:138029', 'CHEBI:138031', 'CHEBI:16521']	RHEA:25286;RHEA:45960;RHEA:54028;RHEA:68060;RHEA:68064;RHEA:68068;RHEA:75079;RHEA:75083;RHEA:75087;RHEA:75103;RHEA:75107;RHEA:75111;RHEA:RHEA-COMP:11964;RHEA:RHEA-COMP:11965	CHEBI:138029;CHEBI:138031;CHEBI:15377;CHEBI:15378;CHEBI:15379;CHEBI:15740;CHEBI:16521;CHEBI:166681;CHEBI:166806;CHEBI:176901;CHEBI:176902;CHEBI:17813;CHEBI:28113;CHEBI:57618;CHEBI:58210;CHEBI:78904;CHEBI:87057;CHEBI:87060	CHEBI:30413
A0A7L4I178	A0A7L4I178_SCOUM	Non-lysosomal glucosylceramidase (EC 3.2.1.45) (EC 3.2.1.46) (Beta-glucocerebrosidase 2) (Bile acid beta-glucosidase GBA	Scopus umbretta (Hammerkop)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:142610', 'CHEBI:142611', 'CHEBI:16113']	RHEA:11956;RHEA:13269;RHEA:14297;RHEA:58324;RHEA:58340;RHEA:58344;RHEA:59104;RHEA:59108;RHEA:70235;RHEA:70255;RHEA:RHEA-COMP:19498;RHEA:RHEA-COMP:19502	CHEBI:139140;CHEBI:142610;CHEBI:142611;CHEBI:15377;CHEBI:15378;CHEBI:16113;CHEBI:16188;CHEBI:17495;CHEBI:18390;CHEBI:189066;CHEBI:22801;CHEBI:29744;CHEBI:36234;CHEBI:41128;CHEBI:4139;CHEBI:4167;CHEBI:52639;CHEBI:57525;CHEBI:57683;CHEBI:72956;CHEBI:73432;CHEBI:77996	
A0A7L4I5K5	A0A7L4I5K5_SCOUM	Solute carrier family 22 member 7 (Organic anion transporter 2)	Scopus umbretta (Hammerkop)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:60050']	RHEA:50984;RHEA:60368;RHEA:71835;RHEA:72043;RHEA:74539;RHEA:75371;RHEA:75787;RHEA:76207;RHEA:76211;RHEA:76215;RHEA:76219;RHEA:76223;RHEA:76231;RHEA:76251	CHEBI:16737;CHEBI:16750;CHEBI:16810;CHEBI:17172;CHEBI:17775;CHEBI:29985;CHEBI:30839;CHEBI:30921;CHEBI:37565;CHEBI:57746;CHEBI:58115;CHEBI:58165;CHEBI:58189;CHEBI:60050;CHEBI:606564	
A0A7L4I6R3	A0A7L4I6R3_SCOUM	11-beta-hydroxysteroid dehydrogenase 1 (EC 1.1.1.146) (EC 1.1.1.201) (7-oxosteroid reductase) (Corticosteroid 11-beta-de	Scopus umbretta (Hammerkop)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:132028', 'CHEBI:132030', 'CHEBI:137724']	RHEA:11388;RHEA:20233;RHEA:42200;RHEA:47540;RHEA:53820;RHEA:65056;RHEA:65060;RHEA:68656;RHEA:68976;RHEA:68980;RHEA:69436;RHEA:69440;RHEA:69452;RHEA:69456	CHEBI:132028;CHEBI:132030;CHEBI:137724;CHEBI:137818;CHEBI:15378;CHEBI:16827;CHEBI:183368;CHEBI:183806;CHEBI:183807;CHEBI:183808;CHEBI:183809;CHEBI:35346;CHEBI:35349;CHEBI:36234;CHEBI:36252;CHEBI:42989;CHEBI:47787;CHEBI:47789;CHEBI:57783;CHEBI:58349;CHEBI:64294;CHEBI:78600;CHEBI:78604;CHEBI:78605;CHEBI:79834;CHEBI:81471;CHEBI:9407	
A0A7L4I763	A0A7L4I763_SCOUM	Lanosterol 14-alpha demethylase (EC 1.14.14.154)	Scopus umbretta (Hammerkop)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:138029', 'CHEBI:138031', 'CHEBI:16521']	RHEA:25286;RHEA:45960;RHEA:54028;RHEA:68060;RHEA:68064;RHEA:68068;RHEA:75079;RHEA:75083;RHEA:75087;RHEA:75103;RHEA:75107;RHEA:75111;RHEA:RHEA-COMP:11964;RHEA:RHEA-COMP:11965	CHEBI:138029;CHEBI:138031;CHEBI:15377;CHEBI:15378;CHEBI:15379;CHEBI:15740;CHEBI:16521;CHEBI:166681;CHEBI:166806;CHEBI:176901;CHEBI:176902;CHEBI:17813;CHEBI:28113;CHEBI:57618;CHEBI:58210;CHEBI:78904;CHEBI:87057;CHEBI:87060	CHEBI:30413
A0A7L4I7F2	A0A7L4I7F2_SCOUM	11-beta-hydroxysteroid dehydrogenase 1 (EC 1.1.1.146) (EC 1.1.1.201) (7-oxosteroid reductase) (Corticosteroid 11-beta-de	Scopus umbretta (Hammerkop)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:132028', 'CHEBI:132030', 'CHEBI:137724']	RHEA:11388;RHEA:20233;RHEA:42200;RHEA:47540;RHEA:53820;RHEA:65056;RHEA:65060;RHEA:68656;RHEA:68976;RHEA:68980;RHEA:69436;RHEA:69440;RHEA:69452;RHEA:69456	CHEBI:132028;CHEBI:132030;CHEBI:137724;CHEBI:137818;CHEBI:15378;CHEBI:16827;CHEBI:183368;CHEBI:183806;CHEBI:183807;CHEBI:183808;CHEBI:183809;CHEBI:35346;CHEBI:35349;CHEBI:36234;CHEBI:36252;CHEBI:42989;CHEBI:47787;CHEBI:47789;CHEBI:57783;CHEBI:58349;CHEBI:64294;CHEBI:78600;CHEBI:78604;CHEBI:78605;CHEBI:79834;CHEBI:81471;CHEBI:9407	
A0A7L4I7H0	A0A7L4I7H0_SCOUM	Peroxisomal coenzyme A diphosphatase NUDT7 (EC 3.6.1.77) (Nucleoside diphosphate-linked moiety X motif 7)	Scopus umbretta (Hammerkop)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:132020', 'CHEBI:132021', 'CHEBI:57373']	RHEA:49976;RHEA:49980;RHEA:50016;RHEA:50020;RHEA:50024;RHEA:50028;RHEA:50036;RHEA:50040;RHEA:64988;RHEA:64992;RHEA:67464;RHEA:67468;RHEA:67472;RHEA:67592;RHEA:RHEA-COMP:15719;RHEA:RHEA-COMP:17276	CHEBI:132011;CHEBI:132012;CHEBI:132013;CHEBI:132014;CHEBI:132015;CHEBI:132017;CHEBI:132020;CHEBI:132021;CHEBI:144051;CHEBI:15377;CHEBI:15378;CHEBI:156266;CHEBI:172362;CHEBI:172363;CHEBI:172364;CHEBI:172371;CHEBI:57287;CHEBI:57288;CHEBI:57292;CHEBI:57371;CHEBI:57373;CHEBI:57375;CHEBI:57384;CHEBI:57385;CHEBI:57386;CHEBI:57392;CHEBI:58343;CHEBI:61430;CHEBI:61723;CHEBI:62620;CHEBI:63001	
A0A7L4I9V5	A0A7L4I9V5_SCOUM	Sterol carrier protein 2 (EC 2.3.1.155) (EC 2.3.1.16) (EC 2.3.1.176) (Acetyl-CoA C-myristoyltransferase) (Non-specific l	Scopus umbretta (Hammerkop)	KEEP_RHEA	current Rhea reaction has sterane-passing ChEBI: ['CHEBI:17759', 'CHEBI:57373', 'CHEBI:58507']	RHEA:16865;RHEA:18161;RHEA:21564;RHEA:31087;RHEA:31091;RHEA:31111;RHEA:31183;RHEA:31203;RHEA:35279;RHEA:40343;RHEA:46344;RHEA:47400;RHEA:62960	CHEBI:17759;CHEBI:57287;CHEBI:57288;CHEBI:57349;CHEBI:57371;CHEBI:57373;CHEBI:57375;CHEBI:57379;CHEBI:57385;CHEBI:57386;CHEBI:57392;CHEBI:58342;CHEBI:58507;CHEBI:61430;CHEBI:62418;CHEBI:62543;CHEBI:62548;CHEBI:62615;CHEBI:62619;CHEBI:62620;CHEBI:71407;CHEBI:77081;CHEBI:77084;CHEBI:86042;CHEBI:87695;CHEBI:87698;CHEBI:90726	
