k	silhouette	inertia	davies_bouldin
10	0.39178477684089114	406842.57231100806	0.789780848024554
11	0.4004905932192172	360271.6750582488	0.7766069014685392
12	0.3990169476812857	330563.232186698	0.7877167221297121
13	0.40207477987332185	305912.1553881717	0.7934829884305672
14	0.39821395271841326	286729.88090936764	0.7915032320624079
15	0.41140391119164543	263820.5910782726	0.760206585935887
16	0.40447029041766774	246132.2278043626	0.7762047233074714
17	0.4159921333258011	228513.60854842392	0.7730398369298027
18	0.4103785169446266	218280.7748098611	0.7989293214799312
19	0.422729618003116	201149.14342881634	0.787570050442082
20	0.4201258819815226	191449.73670054946	0.739663440022057
21	0.43029677940349986	178618.13509461255	0.7804592135848493
22	0.4366038232438064	169007.39731260226	0.7658573078145405
23	0.42947661195155823	163206.11623049158	0.7887811637103589
24	0.4478547983504566	153718.3114877785	0.7342719726646968
25	0.44728437239028535	144231.9822046387	0.7609033320903152
26	0.4451357590950991	140778.03325636184	0.7898224782515515
27	0.4587483697811915	131048.93539220764	0.7372376119969878
28	0.4636161309337853	126631.99096718935	0.7425781013145156
29	0.4745982011898965	118549.62211738894	0.6974724810914229
30	0.4726779121903822	115718.92310725054	0.702213616237264
31	0.4787207514086	107026.39600901847	0.6967664019322358
32	0.4892282143174514	102982.20134091411	0.6850051175209086
33	0.49664030008927695	99443.93268438432	0.6799581265663543
34	0.4970075933298398	95316.77547093444	0.6800829530569591
35	0.5038639096327447	89812.04407129822	0.6722921031341287
36	0.5086248017393139	85479.42215323045	0.6581301824774153
37	0.5107041823876756	82176.39589047155	0.664592819522458
38	0.5156533874124803	78228.65287979315	0.6732993210061944
39	0.5179860230011689	76197.38290630197	0.6568614158341404
40	0.5253001195156051	73109.02065377467	0.6556042026224697
41	0.5256047720993307	71930.01030762315	0.6550528318228052
42	0.5227696540094517	69614.4469682654	0.6657726893472347
43	0.5256093440506605	68441.0351335618	0.6591369627018436
44	0.5202621111068538	65325.295458351124	0.6498538988561785
45	0.5259426774787116	62524.29260674844	0.6863530455733642
46	0.5321427975216049	59069.74728214088	0.6543280001608387
47	0.5311382464798858	58349.48089437375	0.679848317352672
48	0.530593190803716	56977.48085194847	0.6698525825974496
49	0.5430418398344451	54686.14228360503	0.6345525982726538
50	0.5476307489896881	53420.81675724146	0.6877702347809148
51	0.5420147178347792	52314.412928617465	0.6855618535082127
52	0.5429453134395321	50555.45810106754	0.6548729544139424
53	0.540785610445229	50313.074250026344	0.6603205984378667
54	0.5386806633566925	47845.59696009817	0.6699073206025288
55	0.5385804551734282	46988.40355345539	0.6749864961357438
56	0.5438784799826958	45767.08555892727	0.6464446822071681
57	0.5445276299570337	45251.258078422135	0.6607739671553357
58	0.536357709681979	44126.02829035358	0.6738775200287871
59	0.5359655129965549	43308.23316521182	0.6728338401261729
60	0.5613640489011054	41611.17462634369	0.6335925565400733
61	0.5433846936431176	41033.63602994482	0.6648557217538683
62	0.5473798463805896	39741.973149311925	0.6505778893358926
63	0.5509246084477821	39026.58716131714	0.638208420308752
64	0.5685340462169821	37157.52542721095	0.652348019137113
65	0.5430799529842586	37785.446661507376	0.6487059219290012
66	0.5519706987231604	36318.68828423109	0.6408767035332268
67	0.5526178301334735	35967.59002247128	0.6592732586534352
68	0.5548194172781922	35207.08233100565	0.6592546300511022
69	0.5464878969363834	35070.81479486851	0.6655156819518244
70	0.5546391315023257	33905.91799932594	0.6758345974233779
71	0.5485420662981891	33608.96243862714	0.6812724221186695
72	0.5552365223888224	31910.238316454404	0.6638836508060221
73	0.5604154087311778	32043.621022647614	0.6639642662132913
74	0.5537722060049871	30783.485353713335	0.6626377960890572
75	0.5504740445636913	30554.097658164992	0.6596858226266776
76	0.5681333270774084	29991.655276382535	0.6213684754263964
77	0.5597368660829432	29411.83948177198	0.6356027334039039
78	0.5616768433623902	29389.440795807666	0.6585799272431943
79	0.5529877172467091	28519.318054970357	0.6789834321260387
80	0.564753919260323	27195.76063957856	0.6407118616432508
81	0.5617139065857621	27600.72301541931	0.6716666241989662
82	0.5618590659592891	26744.355966281677	0.6531745588904848
83	0.5630118978411509	26444.663985226878	0.638380705319662
84	0.5597116681308804	26178.338683741415	0.639625385044952
85	0.5676327682241156	25836.315419931154	0.6251362947060004
86	0.5750329172393714	24626.70167402848	0.6189493290942466
87	0.569577927633306	24789.202707066546	0.6347079803469086
88	0.5758731230991262	23939.327634056473	0.6418892760212542
89	0.5589968924021099	23843.56693420374	0.6292004897903248
90	0.5732102072207963	23203.502533335002	0.6256469611681768
91	0.5784096236944115	23522.826743049205	0.6234530398435235
92	0.568810187720753	22504.11425197183	0.6254884096571102
93	0.5703770551438965	22348.899283666273	0.6234069290996888
94	0.5780564305509063	21061.205874514497	0.6327133067479987
95	0.582731909631925	21575.978874872755	0.6337898458929244
96	0.5892893353077058	20443.021169453204	0.5778414773376471
97	0.5838876417695436	20664.391639849928	0.609820347902053
98	0.5890668108996798	19983.075667393627	0.5987309038641327
99	0.5733619071732174	19776.42335300343	0.6145031946912178
100	0.5720868604230396	19725.75028450215	0.6256052721754907
101	0.570062914761324	19352.912402013466	0.6254240677304227
102	0.588955941314561	18640.331117888803	0.5910414313960822
103	0.5781748194081647	18771.41856990471	0.6050791079375824
104	0.594755052261513	18041.015878089434	0.591341113780022
105	0.5710004955633817	18271.062135699092	0.6136373265117855
106	0.5818845530291432	17674.4656410527	0.5998581669630265
107	0.5931838950158783	17136.722642555833	0.5896954123703038
108	0.5778140860478342	17239.3386559096	0.5976727622521089
109	0.5943191648799269	16382.274878187696	0.5989616793445663
110	0.5877917176929736	16576.523390574173	0.594406334821735
111	0.5948035824050767	16254.681731581602	0.5807186773436929
112	0.5993883846868308	15828.891119966165	0.572981340299955
113	0.5915339870566664	15728.362663604215	0.5837659445169292
114	0.5881210717639195	15473.57824058137	0.608668707599336
115	0.5939718064313824	15380.23674415628	0.5931479107347133
116	0.5915272577043005	15103.846790233323	0.5916740015635054
117	0.5948537956951878	14760.581084233574	0.5816047965161045
118	0.5980035419517143	14543.220833981542	0.5712488533203047
119	0.6064833809943695	14195.981187099853	0.563047536327397
120	0.5904841126321781	14122.249136348524	0.5766043935856628
121	0.5929010728099353	13797.009830220937	0.5861445200268235
122	0.598041267068894	14071.296707436997	0.5851584911582994
123	0.5979091289176571	13818.477035620474	0.5855748269378102
124	0.599176325399917	13205.48286929722	0.5827052895347115
125	0.6005945869471161	13107.094288403792	0.5869062676823852
126	0.6148600055696241	12785.110213005186	0.5408893096140684
127	0.5906308809038424	12918.077611972809	0.5794519944071959
128	0.6090578656526201	12557.341938105208	0.5716989026158326
129	0.6057466980798101	12404.100375383532	0.5528559808752306
130	0.5921756468803001	12178.676641896758	0.5927723947427311
131	0.6098860366959272	12114.565758014314	0.5728579311400956
132	0.6030691785774855	11993.265476024157	0.5687890946642613
133	0.6084590699354813	11537.796952323182	0.5516347752781915
134	0.6092014707519522	11618.441102904211	0.5611114944869604
135	0.6112619342320195	11461.472222537002	0.5353162037486603
136	0.6115820876185684	11096.798381804261	0.5671949659285282
137	0.6157106996873878	11004.883747765205	0.5422462084219922
138	0.6164890386460464	10930.997967187692	0.5534045892488002
139	0.6131987164649386	10685.370944148313	0.557751120975736
140	0.5989614236795653	10569.212478890262	0.5699082758021402
141	0.6120654885579017	10473.63084146749	0.5599445566085561
142	0.6120306313783063	10545.329084108214	0.5446121915389348
143	0.6179816975653147	10174.34360007492	0.5487461007323509
144	0.6184938691965542	9926.751462410863	0.5236429388577524
145	0.6111104009989445	9999.215792930821	0.5695863950604393
146	0.6181440162720234	9551.866888177214	0.5485840744602587
147	0.6203096808578574	9580.572121021172	0.5383620046045818
148	0.6178905967974634	9589.719808168058	0.55777278626253
149	0.623338689747894	9335.168885378685	0.5481396161667037
150	0.6149253602383579	9162.964489494701	0.5478897845326609
151	0.6281135225073271	9085.467015191007	0.5347464876904792
152	0.6204707477453576	9131.528967149932	0.5412722621030276
153	0.6164350358120615	8807.069176397921	0.5339963167715897
154	0.6190316157155602	8680.681410495503	0.5479194689028023
155	0.6212950817149151	8655.775521949206	0.556623708165175
156	0.6186261351904813	8522.695988845118	0.5439394050724283
157	0.6249624736720775	8428.712596081285	0.5333504281220313
158	0.6199528874455817	8208.021594694641	0.5213130738038222
159	0.6322931674929715	8171.735603079821	0.5204482406234359
160	0.6216291847934702	8114.765267698575	0.5260876373250769
161	0.625331660256919	7984.108699018408	0.5426404115592082
162	0.6222245502295133	7857.350027725155	0.526058558131768
163	0.618375635705792	7986.2745641866395	0.553265864371978
164	0.621271864203241	7795.208082025953	0.5293329873600235
165	0.6180933886914015	7653.3341499914195	0.5555318453447715
166	0.6173292001434031	7565.976772288525	0.533725361705698
167	0.630878513438969	7569.183529833019	0.5267132495371927
168	0.626632231346257	7221.23270005964	0.5328036611637705
169	0.6318928072491197	7324.952636804841	0.5433669111504315
170	0.6258638744325034	7326.1414909454425	0.5362571161208686
171	0.6366330759198524	7176.791151444095	0.529952272853071
172	0.6191755106893477	7196.33817233752	0.5345520992535838
173	0.6235399359400476	6852.132101904354	0.5262674443680242
174	0.6255121265040416	6915.554403242527	0.5226581734905701
175	0.6243427566223982	6946.85763479561	0.5176343431428818
176	0.6287771680493682	6790.185178348747	0.5149705809710979
177	0.6158274888765687	6693.3661244298555	0.5298314836542111
178	0.6274513745771281	6626.087434523152	0.5293811138216172
179	0.6218813592117535	6559.193961332786	0.5316863808728574
180	0.628011631050126	6414.182318812876	0.5362639555365745
181	0.6368094931131427	6432.545144281278	0.5103515859494333
182	0.6296929148820503	6294.417412467443	0.5058284213236565
183	0.6273131769369173	6227.445004842681	0.5336181351559061
184	0.6273565899832071	6141.772931584296	0.5248767354326622
185	0.64116989479116	6064.423690785162	0.5119321835455588
186	0.6298236057893273	6133.009361451838	0.5200948157551498
187	0.6333529905482747	5928.266836559853	0.507269265499363
188	0.6349666923392354	5953.697332005146	0.5220289190800188
189	0.635356205821119	5777.972852458681	0.5181015104798069
190	0.6344670216042617	5821.925571716102	0.5219613675762594
191	0.6338718176979906	5724.371794436415	0.523736497399458
192	0.6326617778271206	5685.646027981591	0.5270551071166988
193	0.6335690252697772	5628.874023017577	0.5245411265601403
194	0.6370342666415265	5528.107704583802	0.512752382560084
195	0.6342448430423965	5488.111513485303	0.5262718017731607
196	0.6282538583216823	5393.156920938921	0.5303104088640166
197	0.6347581180995702	5392.572622403211	0.5208569936204869
198	0.6357599294151658	5339.848269752722	0.5171754414687634
199	0.6369334446141677	5270.746630857356	0.512933335773903
200	0.6362521165680554	5134.410360109229	0.5036715479088776
